Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,SRT,SRT,SRT
SRT,SRT,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX,blank,KTX-산천,KTX-산천,KTX-산천
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,blank,KTX-산천,KTX,KTX-산천
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,무궁화호,blank,KTX,SRT,KTX
SRT,SRT,SRT,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,KTX,SRT,blank,SRT,KTX-산천,SRT
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX,ITX-새마을,blank,KTX-산천,KTX,KTX-산천
SRT,SRT,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,KTX,blank,KTX,무궁화호,KTX
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,SRT,KTX-산천,무궁화호
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,무궁화호,blank,무궁화호,KTX,KTX-산천
SRT,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,KTX-산천,SRT,KTX
SRT,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,KTX-산천,SRT,KTX
SRT,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,blank,KTX,ITX-새마을,SRT
SRT,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,ITX-새마을,blank,SRT,KTX-산천,ITX-새마을
SRT,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,SRT,무궁화호,blank,ITX-새마을,무궁화호,KTX-산천
blank,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,blank,KTX-산천,무궁화호,KTX-산천
blank,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,blank,KTX-산천,KTX-산천,무궁화호
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,누리로,blank,무궁화호,SRT,KTX
blank,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,blank,KTX,blank,SRT,무궁화호,무궁화호
blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,blank,KTX,무궁화호,KTX-산천
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,무궁화호,KTX,SRT
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,무궁화호,KTX,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,KTX-산천,ITX-새마을,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,KTX-산천,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,blank,무궁화호,KTX,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,SRT,blank,ITX-새마을
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,KTX,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,무궁화호,blank,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,누리로,blank,SRT,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,ITX-새마을,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,ITX-새마을,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,KTX-산천,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,SRT,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,KTX,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
